,class,count,sum,aspect,elevation_below,year,percent_snow_cover,km2_snow,km2_all
333,135_4500,0,0,135,4500,2018,,0.0,0.0
334,270_2900,2202,81,270,2900,2018,0.0367847411444141,0.8100000000000002,22.020000000000003
335,225_3600,9,2,225,3600,2018,0.2222222222222222,0.02,0.09
336,45_3200,931,329,45,3200,2018,0.3533834586466165,3.2900000000000005,9.310000000000002
337,315_2700,3813,17,315,2700,2018,0.004458431681091,0.17,38.13000000000001
338,270_2100,6600,0,270,2100,2018,0.0,0.0,66.00000000000001
339,315_1600,8359,1,315,1600,2018,0.0001196315348725,0.01,83.59000000000002
340,45_1700,6635,0,45,1700,2018,0.0,0.0,66.35000000000001
341,0_3700,6,1,0,3700,2018,0.1666666666666666,0.01,0.06
342,180_2700,2778,2,180,2700,2018,0.0007199424046076,0.02,27.780000000000005
343,135_1900,6908,1,135,1900,2018,0.0001447596988998,0.01,69.08000000000001
344,270_1800,7185,0,270,1800,2018,0.0,0.0,71.85000000000001
345,225_4000,0,0,225,4000,2018,,0.0,0.0
346,90_1500,49138,0,90,1500,2018,0.0,0.0,491.3800000000001
347,90_3800,1,0,90,3800,2018,0.0,0.0,0.01
348,315_3100,1502,350,315,3100,2018,0.233022636484687,3.500000000000001,15.020000000000003
349,135_3400,178,49,135,3400,2018,0.2752808988764045,0.4900000000000001,1.7800000000000002
350,225_2500,4185,6,225,2500,2018,0.0014336917562724,0.06,41.85000000000001
351,270_3300,477,132,270,3300,2018,0.2767295597484276,1.3200000000000005,4.770000000000001
352,45_2000,6015,0,45,2000,2018,0.0,0.0,60.15000000000001
353,90_3000,1535,152,90,3000,2018,0.0990228013029315,1.5200000000000002,15.350000000000003
354,315_3900,0,0,315,3900,2018,,0.0,0.0
355,45_2800,2875,121,45,2800,2018,0.0420869565217391,1.2100000000000002,28.750000000000007
356,135_2900,1850,32,135,2900,2018,0.0172972972972972,0.32,18.500000000000004
357,0_2400,4887,7,0,2400,2018,0.0014323715981174,0.07,48.87000000000001
358,180_3700,3,1,180,3700,2018,0.3333333333333333,0.01,0.03
359,135_2100,5999,0,135,2100,2018,0.0,0.0,59.99000000000001
