,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
177,315_1800,3680,0,315,1800,2018,Kärnten,0.0,0.0,36.800000000000004
178,45_1900,3206,0,45,1900,2018,Kärnten,0.0,0.0,32.06000000000001
179,180_2100,3048,0,180,2100,2018,Kärnten,0.0,0.0,30.480000000000008
180,0_3500,13,4,0,3500,2018,Kärnten,0.3076923076923077,0.04000000000000001,0.13000000000000003
181,180_2900,527,52,180,2900,2018,Kärnten,0.09867172675521822,0.5200000000000001,5.270000000000001
182,90_3600,1,0,90,3600,2018,Kärnten,0.0,0.0,0.010000000000000002
183,135_3600,2,0,135,3600,2018,Kärnten,0.0,0.0,0.020000000000000004
184,45_4500,0,0,45,4500,2018,Kärnten,,0.0,0.0
185,315_3300,8,2,315,3300,2018,Kärnten,0.25,0.020000000000000004,0.08000000000000002
186,45_2200,1889,0,45,2200,2018,Kärnten,0.0,0.0,18.890000000000004
187,225_2700,876,5,225,2700,2018,Kärnten,0.005707762557077625,0.05000000000000001,8.760000000000002
188,270_3500,3,1,270,3500,2018,Kärnten,0.3333333333333333,0.010000000000000002,0.030000000000000006
189,180_3100,169,79,180,3100,2018,Kärnten,0.46745562130177515,0.7900000000000001,1.6900000000000004
190,180_1600,6164,0,180,1600,2018,Kärnten,0.0,0.0,61.640000000000015
191,0_4500,0,0,0,4500,2018,Kärnten,,0.0,0.0
192,180_3900,0,0,180,3900,2018,Kärnten,,0.0,0.0
193,0_2200,1866,0,0,2200,2018,Kärnten,0.0,0.0,18.660000000000004
194,90_2500,1171,0,90,2500,2018,Kärnten,0.0,0.0,11.710000000000003
195,315_2000,2702,0,315,2000,2018,Kärnten,0.0,0.0,27.020000000000007
196,135_2300,2030,8,135,2300,2018,Kärnten,0.003940886699507389,0.08000000000000002,20.300000000000004
197,270_2200,1671,0,270,2200,2018,Kärnten,0.0,0.0,16.710000000000004
198,270_4500,0,0,270,4500,2018,Kärnten,,0.0,0.0
199,45_3300,62,38,45,3300,2018,Kärnten,0.6129032258064516,0.38000000000000006,0.6200000000000001
200,90_4000,0,0,90,4000,2018,Kärnten,,0.0,0.0
201,225_3700,3,0,225,3700,2018,Kärnten,0.0,0.0,0.030000000000000006
202,315_2800,347,10,315,2800,2018,Kärnten,0.02881844380403458,0.10000000000000002,3.4700000000000006
203,315_1700,4067,0,315,1700,2018,Kärnten,0.0,0.0,40.67000000000001
204,45_1800,3958,0,45,1800,2018,Kärnten,0.0,0.0,39.580000000000005
205,180_2000,3426,0,180,2000,2018,Kärnten,0.0,0.0,34.260000000000005
206,0_3400,15,6,0,3400,2018,Kärnten,0.4,0.06000000000000001,0.15000000000000002
207,0_1900,3245,0,0,1900,2018,Kärnten,0.0,0.0,32.45
208,180_2800,721,15,180,2800,2018,Kärnten,0.020804438280166437,0.15000000000000002,7.210000000000002
209,90_3700,2,0,90,3700,2018,Kärnten,0.0,0.0,0.020000000000000004
210,135_3500,1,0,135,3500,2018,Kärnten,0.0,0.0,0.010000000000000002
211,270_1900,3049,0,270,1900,2018,Kärnten,0.0,0.0,30.490000000000006
212,315_3200,23,6,315,3200,2018,Kärnten,0.2608695652173913,0.06000000000000001,0.23000000000000004
213,270_3400,7,1,270,3400,2018,Kärnten,0.14285714285714285,0.010000000000000002,0.07
214,45_2100,2277,0,45,2100,2018,Kärnten,0.0,0.0,22.770000000000003
215,225_2600,1247,1,225,2600,2018,Kärnten,0.0008019246190858059,0.010000000000000002,12.470000000000002
0,225_1700,4828,0,225,1700,2021,Kärnten,0.0,0.0,48.28000000000001
1,45_2500,1023,0,45,2500,2021,Kärnten,0.0,0.0,10.230000000000002
2,180_3400,8,4,180,3400,2021,Kärnten,0.5,0.04000000000000001,0.08000000000000002
3,135_2600,1219,5,135,2600,2021,Kärnten,0.004101722723543888,0.05000000000000001,12.190000000000003
4,0_2900,180,40,0,2900,2021,Kärnten,0.2222222222222222,0.4000000000000001,1.8000000000000003
